Algorithm,Scenario,Strategy,Top1_acc,Top5_acc,PowerLoss_dB,AllocGain,Fairness,Coverage,TrainTime,InferTime,RobustnessDrop
KNN,Scenario 1 (V2I - Day - Location A),Max-SNR,4.329896907216495,22.88659793814433,1.5016189270439373,26.241401377632872,0.9986293327328462,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Round-Robin,4.329896907216495,22.88659793814433,1.5016189270439373,2.624140137763287,0.9986293327328456,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.329896907216495,22.88659793814433,1.5016189270439373,2.676642630540308,0.713959177854182,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Max-Min,4.329896907216495,22.88659793814433,1.5016189270439373,24.69813339218801,0.9996640726475796,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
NN,Scenario 1 (V2I - Day - Location A),Max-SNR,42.47422680412371,95.05154639175257,0.42815639917601916,26.59749623962404,0.9987416265493566,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Round-Robin,42.47422680412371,95.05154639175257,0.42815639917601916,2.659749623962404,0.9987416265493564,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,42.47422680412371,95.05154639175257,0.42815639917601916,2.7086817540611206,0.7297004701808284,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Max-Min,42.47422680412371,95.05154639175257,0.42815639917601916,25.04152906882501,0.9996069182056738,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
RF,Scenario 1 (V2I - Day - Location A),Max-SNR,4.123711340206185,36.907216494845365,1.4320690163162488,26.263859131958856,0.9986652529485412,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Round-Robin,4.123711340206185,36.907216494845365,1.4320690163162488,2.6263859131958855,0.9986652529485407,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.123711340206185,36.907216494845365,1.4320690163162488,2.677162459676791,0.7241456933276545,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Max-Min,4.123711340206185,36.907216494845365,1.4320690163162488,24.71770202421575,0.9996911134728126,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
XGB,Scenario 1 (V2I - Day - Location A),Max-SNR,4.329896907216495,43.09278350515464,1.4771057540186359,26.25027363955412,0.9987598153672903,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Round-Robin,4.329896907216495,43.09278350515464,1.4771057540186359,2.625027363955412,0.9987598153672896,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.329896907216495,43.09278350515464,1.4771057540186359,2.6726816149462524,0.7302316221724839,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Max-Min,4.329896907216495,43.09278350515464,1.4771057540186359,24.791070493538047,0.9996068019783206,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
NB,Scenario 1 (V2I - Day - Location A),Max-SNR,5.154639175257731,37.31958762886598,1.8967098956424993,26.107581493466196,0.9984604408587078,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Round-Robin,5.154639175257731,37.31958762886598,1.8967098956424993,2.6107581493466196,0.9984604408587068,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,5.154639175257731,37.31958762886598,1.8967098956424993,2.6726248675069173,0.6627693640780652,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Max-Min,5.154639175257731,37.31958762886598,1.8967098956424993,24.609806418255037,0.9997542080205594,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
KNN,Scenario 2 (V2I - Night),Max-SNR,6.5546218487394965,24.369747899159663,2.048737814304048,27.804753470510583,0.9991587298977048,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Round-Robin,6.5546218487394965,24.369747899159663,2.048737814304048,2.7804753470510586,0.9991587298977048,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Proportional-Fair,6.5546218487394965,24.369747899159663,2.048737814304048,2.8154714637646623,0.8051790876843173,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Max-Min,6.5546218487394965,24.369747899159663,2.048737814304048,26.425528480968367,0.9998360090172593,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
NN,Scenario 2 (V2I - Night),Max-SNR,38.82352941176471,89.41176470588236,0.9141999807746193,28.178926837472236,0.9991023380943687,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
NN,Scenario 2 (V2I - Night),Round-Robin,38.82352941176471,89.41176470588236,0.9141999807746193,2.8178926837472242,0.9991023380943685,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
NN,Scenario 2 (V2I - Night),Proportional-Fair,38.82352941176471,89.41176470588236,0.9141999807746193,2.852378262116847,0.8248274154090853,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
NN,Scenario 2 (V2I - Night),Max-Min,38.82352941176471,89.41176470588236,0.9141999807746193,26.591611788143396,0.9996964165901197,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
RF,Scenario 2 (V2I - Night),Max-SNR,4.705882352941177,31.76470588235294,2.07201698276038,27.797873306094672,0.9991923956652141,0.9999999999983051,0.9066972732543945,0.0013097119331359863,0.0
RF,Scenario 2 (V2I - Night),Round-Robin,4.705882352941177,31.76470588235294,2.07201698276038,2.7797873306094676,0.9991923956652133,0.9999999999983051,0.9066972732543945,0.0013097119331359863,0.0
RF,Scenario 2 (V2I - Night),Proportional-Fair,4.705882352941177,31.76470588235294,2.07201698276038,2.8137879160346384,0.8067352826859883,0.9999999999983051,0.9066972732543945,0.0013097119331359863,0.0
RF,Scenario 2 (V2I - Night),Max-Min,4.705882352941177,31.76470588235294,2.07201698276038,26.447821114474213,0.9998340034529521,0.9999999999983051,0.9066972732543945,0.0013097119331359863,0.0
XGB,Scenario 2 (V2I - Night),Max-SNR,4.873949579831933,42.6890756302521,2.0307359111631635,27.810392936905178,0.9991607170254221,0.9999999999983051,21.64003300666809,0.0002616000175476074,0.0
XGB,Scenario 2 (V2I - Night),Round-Robin,4.873949579831933,42.6890756302521,2.0307359111631635,2.7810392936905175,0.9991607170254213,0.9999999999983051,21.64003300666809,0.0002616000175476074,0.0
XGB,Scenario 2 (V2I - Night),Proportional-Fair,4.873949579831933,42.6890756302521,2.0307359111631635,2.816298430845658,0.8038804015071019,0.9999999999983051,21.64003300666809,0.0002616000175476074,0.0
XGB,Scenario 2 (V2I - Night),Max-Min,4.873949579831933,42.6890756302521,2.0307359111631635,26.469183375642814,0.9998293102059288,0.9999999999983051,21.64003300666809,0.0002616000175476074,0.0
NB,Scenario 2 (V2I - Night),Max-SNR,8.403361344537815,40.0,2.771607900115263,27.564778219311084,0.9989053407691564,0.9999999999983051,0.08750128746032715,0.00010402202606201172,0.0
NB,Scenario 2 (V2I - Night),Round-Robin,8.403361344537815,40.0,2.771607900115263,2.7564778219311084,0.9989053407691563,0.9999999999983051,0.08750128746032715,0.00010402202606201172,0.0
NB,Scenario 2 (V2I - Night),Proportional-Fair,8.403361344537815,40.0,2.771607900115263,2.803232106496704,0.7461466943553647,0.9999999999983051,0.08750128746032715,0.00010402202606201172,0.0
NB,Scenario 2 (V2I - Night),Max-Min,8.403361344537815,40.0,2.771607900115263,26.22489663777258,0.9999574104244852,0.9999999999983051,0.08750128746032715,0.00010402202606201172,0.0
KNN,Scenario 3 (V2I - Day - Location B),Max-SNR,6.7114093959731544,30.536912751677853,1.7575427149647451,27.133672824660515,0.9992811367814197,0.9999999999965518,0.024939537048339844,8.644342422485351e-05,0.0
KNN,Scenario 3 (V2I - Day - Location B),Round-Robin,6.7114093959731544,30.536912751677853,1.7575427149647451,2.7133672824660513,0.9992811367814182,0.9999999999965518,0.024939537048339844,8.644342422485351e-05,0.0
KNN,Scenario 3 (V2I - Day - Location B),Proportional-Fair,6.7114093959731544,30.536912751677853,1.7575427149647451,2.751317768120537,0.7287569808836936,0.9999999999965518,0.024939537048339844,8.644342422485351e-05,0.0
KNN,Scenario 3 (V2I - Day - Location B),Max-Min,6.7114093959731544,30.536912751677853,1.7575427149647451,26.360554765426116,0.999975210178844,0.9999999999965518,0.024939537048339844,8.644342422485351e-05,0.0
NN,Scenario 3 (V2I - Day - Location B),Max-SNR,30.536912751677853,72.81879194630872,1.2078962007874243,27.30486242109422,0.9991960197813992,0.9999999999965518,39.99373483657837,4.9331188201904296e-05,3.355704697986578
NN,Scenario 3 (V2I - Day - Location B),Round-Robin,30.536912751677853,72.81879194630872,1.2078962007874243,2.730486242109422,0.9991960197813973,0.9999999999965518,39.99373483657837,4.9331188201904296e-05,3.355704697986578
NN,Scenario 3 (V2I - Day - Location B),Proportional-Fair,30.536912751677853,72.81879194630872,1.2078962007874243,2.7698837006038106,0.7369862052710934,0.9999999999965518,39.99373483657837,4.9331188201904296e-05,3.355704697986578
NN,Scenario 3 (V2I - Day - Location B),Max-Min,30.536912751677853,72.81879194630872,1.2078962007874243,26.372481692225776,0.9999410188630953,0.9999999999965518,39.99373483657837,4.9331188201904296e-05,3.355704697986578
RF,Scenario 3 (V2I - Day - Location B),Max-SNR,5.369127516778524,35.23489932885906,1.6649734796704005,27.156798585299498,0.9993491301289252,0.9999999999965518,0.7423300743103027,0.001013011932373047,0.0
RF,Scenario 3 (V2I - Day - Location B),Round-Robin,5.369127516778524,35.23489932885906,1.6649734796704005,2.71567985852995,0.9993491301289239,0.9999999999965518,0.7423300743103027,0.001013011932373047,0.0
RF,Scenario 3 (V2I - Day - Location B),Proportional-Fair,5.369127516778524,35.23489932885906,1.6649734796704005,2.7510648129454127,0.7343076649847362,0.9999999999965518,0.7423300743103027,0.001013011932373047,0.0
RF,Scenario 3 (V2I - Day - Location B),Max-Min,5.369127516778524,35.23489932885906,1.6649734796704005,26.38438833939898,0.9999676361842156,0.9999999999965518,0.7423300743103027,0.001013011932373047,0.0
XGB,Scenario 3 (V2I - Day - Location B),Max-SNR,7.046979865771812,32.5503355704698,1.8778749310197806,27.090862669699376,0.9994514526264058,0.9999999999965518,18.08590292930603,0.00046361923217773436,3.0201342281879198
XGB,Scenario 3 (V2I - Day - Location B),Round-Robin,7.046979865771812,32.5503355704698,1.8778749310197806,2.7090862669699374,0.999451452626404,0.9999999999965518,18.08590292930603,0.00046361923217773436,3.0201342281879198
XGB,Scenario 3 (V2I - Day - Location B),Proportional-Fair,7.046979865771812,32.5503355704698,1.8778749310197806,2.7388218216293816,0.7757055673638826,0.9999999999965518,18.08590292930603,0.00046361923217773436,3.0201342281879198
XGB,Scenario 3 (V2I - Day - Location B),Max-Min,7.046979865771812,32.5503355704698,1.8778749310197806,26.341569241331136,0.9999665721871636,0.9999999999965518,18.08590292930603,0.00046361923217773436,3.0201342281879198
NB,Scenario 3 (V2I - Day - Location B),Max-SNR,6.375838926174497,13.422818791946309,2.4895232249785497,26.8774010255642,0.9995668068564615,0.9999999999965518,0.06571149826049805,0.00010141372680664063,0.0
NB,Scenario 3 (V2I - Day - Location B),Round-Robin,6.375838926174497,13.422818791946309,2.4895232249785497,2.6877401025564205,0.9995668068564598,0.9999999999965518,0.06571149826049805,0.00010141372680664063,0.0
NB,Scenario 3 (V2I - Day - Location B),Proportional-Fair,6.375838926174497,13.422818791946309,2.4895232249785497,2.7102238447195592,0.8213028075915471,0.9999999999965518,0.06571149826049805,0.00010141372680664063,0.0
NB,Scenario 3 (V2I - Day - Location B),Max-Min,6.375838926174497,13.422818791946309,2.4895232249785497,26.267899694655064,0.9999862314182983,0.9999999999965518,0.06571149826049805,0.00010141372680664063,0.0
